,COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
112,MARION,0.0,79.0,102.0,0.0,12.0,13.0,0.0,4.0,3.0,0.0,35.0,36.0,0.0,20.0,16.0,1.0,1541.0,1389.0,0.0,872.0,681.0,4804.0
113,MERIWETHER,2.0,444.0,509.0,0.0,34.0,18.0,0.0,7.0,4.0,0.0,34.0,25.0,0.0,12.0,14.0,4.0,4184.0,3735.0,0.0,2959.0,2179.0,14164.0
114,MILLER,0.0,53.0,52.0,0.0,3.0,5.0,0.0,3.0,0.0,0.0,12.0,9.0,0.0,3.0,2.0,0.0,1490.0,1343.0,0.0,616.0,421.0,4012.0
115,MITCHELL,4.0,388.0,414.0,0.0,16.0,12.0,0.0,4.0,1.0,0.0,52.0,56.0,0.0,26.0,18.0,5.0,3382.0,2915.0,5.0,3295.0,2210.0,12803.0
116,MONROE,21.0,576.0,692.0,0.0,53.0,55.0,0.0,7.0,4.0,0.0,53.0,55.0,0.0,54.0,39.0,7.0,6994.0,6450.0,3.0,2138.0,1634.0,18835.0
117,MONTGOMERY,1.0,119.0,133.0,0.0,8.0,5.0,0.0,1.0,2.0,0.0,40.0,31.0,0.0,8.0,3.0,3.0,1987.0,1752.0,1.0,661.0,505.0,5260.0
118,MORGAN,0.0,266.0,297.0,0.0,21.0,18.0,1.0,4.0,4.0,0.0,62.0,48.0,0.0,32.0,25.0,5.0,5060.0,4646.0,2.0,1518.0,1097.0,13106.0
119,MURRAY,4.0,829.0,943.0,0.0,54.0,40.0,0.0,8.0,6.0,0.0,438.0,424.0,0.0,19.0,15.0,7.0,8960.0,8064.0,0.0,42.0,55.0,19908.0
120,MUSCOGEE,56.0,4288.0,4101.0,5.0,1029.0,731.0,1.0,85.0,67.0,3.0,1750.0,1482.0,4.0,1031.0,790.0,38.0,28137.0,23132.0,28.0,34197.0,23993.0,124948.0
121,NEWTON,1.0,3016.0,3402.0,0.0,323.0,207.0,0.0,37.0,37.0,0.0,646.0,503.0,0.0,179.0,170.0,0.0,17097.0,15124.0,0.0,18441.0,12557.0,71740.0
122,OCONEE,24.0,1307.0,1362.0,0.0,95.0,113.0,0.0,9.0,6.0,3.0,224.0,205.0,0.0,279.0,257.0,13.0,12145.0,11094.0,1.0,615.0,460.0,28212.0
123,OGLETHORPE,4.0,370.0,439.0,0.0,26.0,21.0,0.0,3.0,7.0,0.0,54.0,47.0,0.0,13.0,10.0,4.0,3749.0,3429.0,0.0,740.0,565.0,9481.0
