COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
FANNIN,0.00,62.00,71.00,0.00,6.00,6.00,0.00,2.00,1.00,0.00,3.00,3.00,0.00,7.00,1.00,0.00,2861.0,2792.0,0.00,3.00,1.00,5819.0
FAYETTE,1.00,676.0,619.0,0.00,60.00,54.00,0.00,2.00,1.00,0.00,54.00,44.00,1.00,51.00,39.00,2.00,6647.0,6055.0,0.00,1816.0,1284.0,17406.0
FLOYD,2.00,97.00,81.00,0.00,3.00,2.00,0.00,0.00,3.00,0.00,11.00,12.00,0.00,13.00,7.00,2.00,4263.0,4061.0,0.00,287.0,157.0,9001.0
FORSYTH,9.00,966.0,1003.0,0.00,35.00,23.00,0.00,3.00,1.00,1.00,72.00,74.00,0.00,71.00,71.00,8.00,9010.0,8767.0,0.00,97.00,66.00,20277.0
FRANKLIN,0.00,24.00,32.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,1.00,0.00,0.00,1695.0,1635.0,0.00,46.00,32.00,3472.0
FULTON,18.00,3113.0,2451.0,0.00,307.0,219.0,0.00,5.00,7.00,0.00,222.0,196.0,1.00,230.0,245.0,7.00,14185.0,14296.0,9.00,21145.0,11267.0,67923.0
GILMER,0.00,66.00,55.00,0.00,5.00,4.00,0.00,0.00,1.00,0.00,5.00,5.00,0.00,2.00,0.00,0.00,2139.0,2105.0,0.00,2.00,3.00,4392.0
GLASCOCK,0.00,12.00,17.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,610.0,543.0,0.00,33.00,22.00,1238.0
GLYNN,0.00,234.0,221.0,0.00,17.00,14.00,0.00,0.00,2.00,0.00,14.00,22.00,0.00,18.00,13.00,2.00,4257.0,3898.0,0.00,717.0,401.0,9830.0
GORDON,0.00,18.00,21.00,0.00,3.00,1.00,0.00,1.00,0.00,0.00,13.00,12.00,0.00,4.00,1.00,0.00,2780.0,2874.0,0.00,62.00,45.00,5835.0
GRADY,0.00,8.00,9.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,1.00,0.00,735.0,711.0,1.00,231.0,110.0,1816.0
GREENE,0.00,73.00,81.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,6.00,7.00,0.00,3.00,2.00,0.00,1454.0,1432.0,0.00,484.0,271.0,3818.0
GWINNETT,44.00,914.0,786.0,0.00,208.0,190.0,0.00,8.00,10.00,4.00,360.0,293.0,0.00,189.0,199.0,8.00,11559.0,11733.0,14.00,3980.0,2301.0,32800.0
HABERSHAM,0.00,104.0,89.00,0.00,8.00,7.00,0.00,2.00,1.00,0.00,8.00,5.00,0.00,27.00,24.00,2.00,3757.0,3313.0,0.00,35.00,26.00,7408.0
HALL,3.00,242.0,290.0,0.00,18.00,20.00,0.00,1.00,2.00,0.00,47.00,49.00,0.00,15.00,7.00,2.00,5813.0,6090.0,1.00,256.0,159.0,13015.0
HANCOCK,0.00,21.00,22.00,0.00,5.00,4.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,240.0,254.0,0.00,1447.0,970.0,2967.0
HARALSON,0.00,38.00,34.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,3.00,1.00,0.00,1.00,1.00,1.00,1972.0,1908.0,0.00,29.00,24.00,4017.0
HARRIS,1.00,45.00,47.00,0.00,7.00,1.00,0.00,0.00,0.00,0.00,7.00,11.00,0.00,6.00,2.00,1.00,1548.0,1590.0,0.00,291.0,181.0,3738.0
HART,0.00,26.00,24.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,2.00,1.00,1.00,1542.0,1595.0,0.00,198.0,121.0,3519.0
HEARD,0.00,2.00,8.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00,2.00,0.00,2.00,713.0,626.0,0.00,63.00,48.00,1468.0
